date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:35	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Jan%202023%2019:56:36%20GMT	https://apertcgo.com/robots.txt		(from )
19:56:37	39078/39078	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2019:56:37%20GMT	https://apertcgo.com/	C:/My%20Web%20Sites/delivery/apertcgo.com/index.php	(from )
19:56:38	153182/153182	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:07%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	C:/My%20Web%20Sites/delivery/maxcdn.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	(from https://apertcgo.com/)
19:56:38	26711/26711	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/My%20Web%20Sites/delivery/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://apertcgo.com/)
19:56:39	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/My%20Web%20Sites/delivery/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://apertcgo.com/)
19:56:39	43593/43593	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Nov%202022%2009:36:00%20GMT	https://apertcgo.com/images/logo.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/logo.png	(from https://apertcgo.com/)
19:56:40	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/delivery/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://apertcgo.com/)
19:56:40	765/765	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-js/smoothScroll.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-js/smoothScroll.js	(from https://apertcgo.com/)
19:56:41	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/delivery/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://apertcgo.com/)
19:56:41	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/delivery/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://apertcgo.com/)
19:56:41	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-css/magnific-popup.css	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-css/magnific-popup.css	(from https://apertcgo.com/)
19:56:41	1377/1377	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-readMore/js.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-readMore/js.js	(from https://apertcgo.com/)
19:56:41	73/73	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-readMore/style.css	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-readMore/style.css	(from https://apertcgo.com/)
19:56:42	3351/3351	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-css/owl.carousel.min.css	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-css/owl.carousel.min.css	(from https://apertcgo.com/)
19:56:42	1013/1013	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-css/owl.theme.default.min.css	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-css/owl.theme.default.min.css	(from https://apertcgo.com/)
19:56:42	14137/14137	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-css/style.css	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-css/style.css	(from https://apertcgo.com/)
19:56:43	39078/39078	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2019:56:44%20GMT	https://apertcgo.com/index.php	C:/My%20Web%20Sites/delivery/apertcgo.com/index-2.php	(from https://apertcgo.com/)
19:56:46	16904/16904	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2019:56:44%20GMT	https://apertcgo.com/about-us.php	C:/My%20Web%20Sites/delivery/apertcgo.com/about-us.php	(from https://apertcgo.com/)
